id~dateiname~universitaet~semester~beginn~ende~quelle~status_komplett~titel
1879w~1879w.xml~Zürich~Winter~1879~1880~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1879/80. Anfang am 16. October 1879, Schluss am 13. März 1880, Zürich: Zürcher und Furrer, 1879.~ja~Wintersemester 1879/80
1880s~1880s.xml~Zürich~Sommer~1880~1880~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1880. Anfang am 19. April 1880, Schluss am 18. August 1880, Zürich: Zürcher und Furrer, 1880.~ja~Sommersemester 1880
1880w~1880w.xml~Zürich~Winter~1880~1881~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1880/81. Anfang am 19. Oktober 1880, Schluss am 13. März 1881, Zürich: Zürcher und Furrer, 1880.~ja~Wintersemester 1880/81
1881s~1881s.xml~Zürich~Sommer~1881~1881~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1881. Anfang am 26. April 1881, Schluss am 13. August 1881, Zürich: Zürcher und Furrer, 1881.~ja~Sommersemester 1881
1881w~1881w.xml~Zürich~Winter~1881~1882~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1881/82. Anfang am 18. October 1881, Schluss am 12. März 1882, Zürich: Zürcher und Furrer, 1881.~ja~Wintersemester 1881/82
1882s~1882s.xml~Zürich~Sommer~1882~1882~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1882. Anfang am 18. April 1882, Schluss am 12. August 1882, Zürich: Zürcher und Furrer, 1882.~ja~Sommersemester 1882
1882w~1882w.xml~Zürich~Winter~1882~1883~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1882/83. Anfang am 17. October 1882, Schluss am 17. März 1883, Zürich: Zürcher und Furrer, 1882.~ja~Wintersemester 1882/83
1883s~1883s.xml~Zürich~Sommer~1883~1883~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1883. Anfang am 17. April 1883, Schluss mit der Jubiläumsfeier der Hochschule am 2. und 3. August 1883, Zürich: Zürcher und Furrer, 1883.~ja~Sommersemester 1883
1883w~1883w.xml~Zürich~Winter~1883~1884~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1883/84. Anfang am 16. October 1883, Schluss am 15. März 1884, Zürich: Zürcher und Furrer, 1883.~ja~Wintersemester 1883/84
1884s~1884s.xml~Zürich~Sommer~1884~1884~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1884. Anfang am 22. April 1884, Schluss am 16. August 1884, Zürich: Zürcher und Furrer, 1884.~ja~Sommersemester 1884
1884w~1884w.xml~Zürich~Winter~1884~1885~Verzeichniss der Vorlesungen an der Hochschule Zürich im Wintersemester 1884/85. Anfang am 16. October 1884, Schluss am 15. März 1885, Zürich: Zürcher und Furrer, 1884.~ja~Wintersemester 1884/85
1885s~1885s.xml~Zürich~Sommer~1885~1885~Verzeichniss der Vorlesungen an der Hochschule Zürich im Sommersemester 1885. Anfang am 21. April 1885, Schluss am 15. August 1885, Zürich: Zürcher und Furrer, 1885.~ja~Sommersemester 1885
